onset	duration	trial_type	value	sample	StimulusPresentation
3.763333333333333	0.005	begin	1	4516	PsychophysicsToolbox
8.795	0.005	stim_on	4	10554	PsychophysicsToolbox
9.81	0.005	resp	3	11772	PsychophysicsToolbox
10.3775	0.005	stim_on	4	12453	PsychophysicsToolbox
11.314166666666669	0.005	resp	3	13577	PsychophysicsToolbox
11.710833333333332	0.005	stim_on	4	14053	PsychophysicsToolbox
12.618333333333334	0.005	resp	3	15142	PsychophysicsToolbox
12.834166666666668	0.005	resp	3	15401	PsychophysicsToolbox
13.1775	0.005	stim_on	4	15813	PsychophysicsToolbox
13.954166666666667	0.005	resp	3	16745	PsychophysicsToolbox
14.6775	0.005	stim_on	4	17613	PsychophysicsToolbox
15.25	0.005	resp	3	18300	PsychophysicsToolbox
16.294166666666666	0.005	stim_on	4	19553	PsychophysicsToolbox
16.93	0.005	resp	3	20316	PsychophysicsToolbox
17.660833333333333	0.005	stim_on	4	21193	PsychophysicsToolbox
18.6025	0.005	resp	3	22323	PsychophysicsToolbox
19.160833333333333	0.005	stim_on	4	22993	PsychophysicsToolbox
20.114166666666662	0.005	resp	3	24137	PsychophysicsToolbox
20.49416666666667	0.005	stim_on	4	24593	PsychophysicsToolbox
21.426666666666662	0.005	resp	3	25712	PsychophysicsToolbox
22.1275	0.005	stim_on	4	26553	PsychophysicsToolbox
22.914166666666667	0.005	resp	3	27497	PsychophysicsToolbox
23.593333333333337	0.005	stim_on	4	28312	PsychophysicsToolbox
24.410833333333333	0.005	resp	3	29293	PsychophysicsToolbox
24.993333333333332	0.005	stim_on	4	29992	PsychophysicsToolbox
26.010833333333338	0.005	resp	3	31213	PsychophysicsToolbox
26.343333333333337	0.005	stim_on	4	31612	PsychophysicsToolbox
27.194166666666668	0.005	resp	3	32633	PsychophysicsToolbox
27.69333333333333	0.005	stim_on	4	33232	PsychophysicsToolbox
28.570833333333333	0.005	resp	3	34285	PsychophysicsToolbox
29.376666666666665	0.005	stim_on	4	35252	PsychophysicsToolbox
30.234166666666667	0.005	resp	3	36281	PsychophysicsToolbox
30.776666666666667	0.005	stim_on	4	36932	PsychophysicsToolbox
31.706666666666667	0.005	resp	3	38048	PsychophysicsToolbox
32.47666666666667	0.005	stim_on	4	38972	PsychophysicsToolbox
33.51416666666667	0.005	resp	3	40217	PsychophysicsToolbox
33.92666666666667	0.005	stim_on	4	40712	PsychophysicsToolbox
34.89833333333333	0.005	resp	3	41878	PsychophysicsToolbox
35.626666666666665	0.005	stim_on	4	42752	PsychophysicsToolbox
36.51416666666667	0.005	resp	3	43817	PsychophysicsToolbox
37.07666666666667	0.005	stim_on	4	44492	PsychophysicsToolbox
38.0025	0.005	resp	3	45603	PsychophysicsToolbox
38.41	0.005	stim_on	4	46092	PsychophysicsToolbox
39.3225	0.005	resp	3	47187	PsychophysicsToolbox
39.96	0.005	stim_on	4	47952	PsychophysicsToolbox
40.875	0.005	resp	3	49050	PsychophysicsToolbox
41.49333333333333	0.005	stim_on	4	49792	PsychophysicsToolbox
42.37083333333333	0.005	resp	3	50845	PsychophysicsToolbox
43.16	0.005	stim_on	4	51792	PsychophysicsToolbox
44.138333333333335	0.005	resp	3	52966	PsychophysicsToolbox
44.54333333333334	0.005	stim_on	4	53452	PsychophysicsToolbox
45.54666666666667	0.005	resp	3	54656	PsychophysicsToolbox
46.17666666666667	0.005	stim_on	4	55412	PsychophysicsToolbox
47.1225	0.005	resp	3	56547	PsychophysicsToolbox
47.62583333333333	0.005	stim_on	4	57151	PsychophysicsToolbox
48.586666666666666	0.005	resp	3	58304	PsychophysicsToolbox
49.325833333333335	0.005	stim_on	4	59191	PsychophysicsToolbox
50.2825	0.005	resp	3	60339	PsychophysicsToolbox
50.975833333333334	0.005	stim_on	4	61171	PsychophysicsToolbox
51.89833333333333	0.005	resp	3	62278	PsychophysicsToolbox
52.575833333333335	0.005	stim_on	4	63091	PsychophysicsToolbox
53.50666666666667	0.005	resp	3	64208	PsychophysicsToolbox
53.975833333333334	0.005	stim_on	4	64771	PsychophysicsToolbox
54.955	0.005	resp	3	65946	PsychophysicsToolbox
55.2925	0.005	stim_on	4	66351	PsychophysicsToolbox
56.29083333333333	0.005	resp	3	67549	PsychophysicsToolbox
56.6925	0.005	stim_on	4	68031	PsychophysicsToolbox
57.65083333333333	0.005	resp	3	69181	PsychophysicsToolbox
58.225833333333334	0.005	stim_on	4	69871	PsychophysicsToolbox
59.10666666666667	0.005	resp	3	70928	PsychophysicsToolbox
59.575833333333335	0.005	stim_on	4	71491	PsychophysicsToolbox
60.450833333333335	0.005	resp	3	72541	PsychophysicsToolbox
61.225833333333334	0.005	stim_on	4	73471	PsychophysicsToolbox
62.130833333333335	0.005	resp	3	74557	PsychophysicsToolbox
62.909166666666664	0.005	stim_on	4	75491	PsychophysicsToolbox
63.803333333333335	0.005	resp	3	76564	PsychophysicsToolbox
64.35916666666667	0.005	stim_on	4	77231	PsychophysicsToolbox
65.25083333333333	0.005	resp	3	78301	PsychophysicsToolbox
65.85916666666667	0.005	stim_on	4	79031	PsychophysicsToolbox
66.755	0.005	resp	3	80106	PsychophysicsToolbox
67.17583333333333	0.005	stim_on	4	80611	PsychophysicsToolbox
68.05916666666667	0.005	resp	3	81671	PsychophysicsToolbox
68.60916666666667	0.005	stim_on	4	82331	PsychophysicsToolbox
69.53083333333333	0.005	resp	3	83437	PsychophysicsToolbox
70.10916666666667	0.005	stim_on	4	84131	PsychophysicsToolbox
71.09083333333334	0.005	resp	3	85309	PsychophysicsToolbox
71.52583333333334	0.005	stim_on	4	85831	PsychophysicsToolbox
72.42666666666666	0.005	resp	3	86912	PsychophysicsToolbox
73.10833333333333	0.005	stim_on	4	87730	PsychophysicsToolbox
74.00333333333333	0.005	resp	3	88804	PsychophysicsToolbox
74.79166666666667	0.005	stim_on	4	89750	PsychophysicsToolbox
75.68333333333334	0.005	resp	3	90820	PsychophysicsToolbox
76.325	0.005	stim_on	4	91590	PsychophysicsToolbox
77.26666666666667	0.005	resp	3	92720	PsychophysicsToolbox
77.74166666666666	0.005	stim_on	4	93290	PsychophysicsToolbox
78.66666666666667	0.005	resp	3	94400	PsychophysicsToolbox
